customer_id,customer_name,segment,region
C_00001,customer-1,startup,apac
C_00002,customer-2,startup,us-east
C_00003,customer-3,internal,us-west
C_00004,customer-4,enterprise,eu
C_00005,customer-5,enterprise,us-west
C_00006,customer-6,internal,eu
C_00007,customer-7,startup,apac
C_00008,customer-8,enterprise,apac
C_00009,customer-9,startup,apac
C_00010,customer-10,enterprise,us-west
C_00011,customer-11,enterprise,us-east
C_00012,customer-12,startup,us-west
C_00013,customer-13,internal,us-west
C_00014,customer-14,startup,eu
C_00015,customer-15,startup,us-east
C_00016,customer-16,startup,us-west
C_00017,customer-17,enterprise,apac
C_00018,customer-18,startup,us-east
C_00019,customer-19,internal,us-east
C_00020,customer-20,startup,us-east
C_00021,customer-21,enterprise,apac
C_00022,customer-22,startup,us-west
C_00023,customer-23,startup,us-west
C_00024,customer-24,enterprise,us-west
C_00025,customer-25,startup,us-east
C_00026,customer-26,internal,us-east
C_00027,customer-27,enterprise,us-west
C_00028,customer-28,startup,eu
C_00029,customer-29,enterprise,eu
C_00030,customer-30,startup,apac
C_00031,customer-31,enterprise,us-west
C_00032,customer-32,enterprise,us-east
C_00033,customer-33,startup,apac
C_00034,customer-34,enterprise,us-west
C_00035,customer-35,startup,us-east
C_00036,customer-36,enterprise,eu
C_00037,customer-37,internal,us-east
C_00038,customer-38,internal,eu
C_00039,customer-39,internal,eu
C_00040,customer-40,startup,us-west
