event_id,ts,customer_id,service_id,surface,model_id,provider,environment,region,token_type,tokens,requests,cost_usd,latency_ms,attribution_status
evt_mp94t3eo_265190,2026-05-17T02:04:00Z,C_00017,svc_trajectory_runner,backend_service,m_claude_opus,anthropic,prod,us-west,input,3500265,583,52.503975,1480,attributed
evt_mp9lt8g0_484588,2026-05-17T10:00:00Z,C_00032,svc_search,backend_service,m_gpt5_mini,openai,prod,us-east,cache_read,1892521,315,0.094626,602,attributed
evt_mp97242o_219451,2026-05-17T03:07:00Z,C_00037,svc_sourcing,backend_service,m_gpt5,openai,prod,us-east,input,11857831,1976,118.57831,4078,attributed
evt_mp95nyio_393502,2026-05-17T02:28:00Z,C_00005,svc_web_app,web_app,m_gpt5_mini,openai,prod,us-west,output,1583055,1055,3.16611,1672,attributed
evt_mpa4co80_879923,2026-05-17T18:39:00Z,C_00003,svc_trajectory_runner,backend_service,m_claude_sonnet,anthropic,prod,us-west,output,592326,395,8.88489,339,attributed
evt_mp9ogedc_726392,2026-05-17T11:14:00Z,C_00002,svc_batch_grader,batch_job,m_gpt5_mini,openai,prod,us-east,output,1775576,1184,3.551152,11037,attributed
evt_mp99qkao_510016,2026-05-17T04:22:00Z,,,unknown,m_claude_sonnet,anthropic,prod,apac,output,1330803,887,19.962045,2061,unknown
evt_mp98zk2o_512519,2026-05-17T04:01:00Z,C_00013,svc_batch_grader,user_token,m_claude_haiku,anthropic,prod,us-east,cache_write,3941395,657,3.941395,619,attributed
evt_mp94p8io_719541,2026-05-17T02:01:00Z,C_00011,svc_annotation_api,web_app,m_gemini_pro,google,dev,us-east,cache_read,8323428,1387,2.9132,419,attributed
evt_mp9uzqlc_701916,2026-05-17T14:17:00Z,C_00034,svc_search,backend_service,m_claude_opus,anthropic,prod,us-west,output,1756635,1171,131.747625,950,attributed
evt_mp9yx76o_107764,2026-05-17T16:07:00Z,C_00020,svc_trajectory_runner,backend_service,m_claude_sonnet,anthropic,dev,us-east,output,1083093,722,16.246395,327,attributed
evt_mp95ldxc_787015,2026-05-17T02:26:00Z,C_00010,svc_annotation_api,backend_service,m_claude_sonnet,anthropic,prod,apac,cache_read,3009382,502,0.902815,920,partial
evt_mpa1hsio_538077,2026-05-17T17:19:00Z,,,unknown,m_claude_sonnet,anthropic,prod,us-east,cache_write,3134704,522,11.75514,795,unknown
evt_mp9nvtmo_344314,2026-05-17T10:58:00Z,C_00002,svc_headshot,backend_service,m_claude_sonnet,anthropic,prod,us-east,input,2066207,344,6.198621,2125,attributed
evt_mp9vclk0_986350,2026-05-17T14:27:00Z,C_00005,svc_annotation_api,user_token,m_claude_haiku,anthropic,staging,us-west,output,3019373,2013,12.077492,504,attributed
evt_mpadtgqo_217795,2026-05-17T23:04:00Z,C_00039,svc_trajectory_runner,backend_service,m_claude_sonnet,anthropic,staging,eu,cache_write,3345485,558,12.545569,689,attributed
evt_mp9wkbmo_953014,2026-05-17T15:01:00Z,C_00035,svc_annotation_api,backend_service,m_gemini_pro,google,staging,us-east,output,1761168,1174,18.492264,1503,attributed
evt_mp98vp6o_330594,2026-05-17T03:58:00Z,C_00015,svc_trajectory_runner,backend_service,m_claude_haiku,anthropic,prod,us-east,output,737487,492,2.949948,900,attributed
evt_mp94p8io_294812,2026-05-17T02:01:00Z,C_00010,svc_trajectory_runner,user_token,m_gpt5_mini,openai,prod,us-west,output,374183,249,0.748366,1785,partial
evt_mp9bhktc_792074,2026-05-17T05:11:00Z,C_00040,svc_batch_grader,batch_job,m_llama3_70b,meta,staging,us-west,input,10832043,1805,6.499226,,attributed
evt_mp9h4rmo_637680,2026-05-17T07:49:00Z,C_00029,svc_annotation_api,backend_service,m_gpt5,openai,prod,eu,input,608211,101,6.08211,969,attributed
evt_mpa9tfk0_154396,2026-05-17T21:12:00Z,C_00027,svc_sourcing,backend_service,m_gpt5,openai,prod,us-west,input,8699926,1450,86.99926,805,attributed
evt_mpa08s5c_427633,2026-05-17T16:44:00Z,C_00023,svc_playground,web_app,m_gpt5,openai,staging,us-west,input,1986979,331,19.86979,830,attributed
evt_mp9hmrs0_492918,2026-05-17T08:03:00Z,C_00017,svc_trajectory_runner,web_app,m_claude_sonnet,anthropic,prod,apac,input,6150506,1025,18.451518,455,attributed
evt_mp923cw0_906410,2026-05-17T00:48:00Z,C_00007,svc_web_app,web_app,m_gpt5,openai,prod,apac,input,2971354,495,29.71354,2361,attributed
evt_mp9r3kao_477747,2026-05-17T12:28:00Z,C_00020,svc_sourcing,web_app,m_mistral_large,mistral,staging,us-west,output,285320,190,1.71192,877,attributed
evt_mp9ipco0_561619,2026-05-17T08:33:00Z,,,unknown,m_claude_sonnet,anthropic,prod,us-west,output,396981,265,5.954715,415,unknown
evt_mp96ueao_989540,2026-05-17T03:01:00Z,C_00036,svc_sourcing,backend_service,m_claude_sonnet,anthropic,prod,eu,cache_read,573027,96,0.171908,573,attributed
evt_mpa9j56o_830508,2026-05-17T21:04:00Z,C_00022,svc_batch_grader,batch_job,m_claude_haiku,anthropic,dev,us-west,output,358159,239,1.432636,1778,attributed
evt_mp9o4tpc_744398,2026-05-17T11:05:00Z,C_00014,svc_playground,web_app,m_claude_sonnet,anthropic,prod,eu,cache_write,3809937,635,14.287264,591,attributed
evt_mp9vs140_591765,2026-05-17T14:39:00Z,C_00004,svc_batch_grader,batch_job,m_gemini_flash,google,prod,eu,input,23967219,3995,7.190166,2835,attributed
