verifier_id,world_id,verifier_name,kind
w_0001_v1,w_0001,browsecomp_check_1,programmatic
w_0001_v2,w_0001,browsecomp_check_2,judge
w_0001_v3,w_0001,browsecomp_check_3,gt
w_0001_v4,w_0001,browsecomp_check_4,gt
w_0002_v1,w_0002,swe_bench_check_1,gt
w_0002_v2,w_0002,swe_bench_check_2,gt
w_0002_v3,w_0002,swe_bench_check_3,programmatic
w_0002_v4,w_0002,swe_bench_check_4,gt
w_0003_v1,w_0003,gdpval_check_1,gt
w_0003_v2,w_0003,gdpval_check_2,gt
w_0003_v3,w_0003,gdpval_check_3,programmatic
w_0003_v4,w_0003,gdpval_check_4,judge
w_0004_v1,w_0004,hle_check_1,programmatic
w_0004_v2,w_0004,hle_check_2,programmatic
w_0004_v3,w_0004,hle_check_3,judge
w_0004_v4,w_0004,hle_check_4,judge
w_0005_v1,w_0005,terminal_bench_check_1,gt
w_0005_v2,w_0005,terminal_bench_check_2,judge
w_0005_v3,w_0005,terminal_bench_check_3,judge
w_0005_v4,w_0005,terminal_bench_check_4,gt
w_0006_v1,w_0006,legalbench_check_1,gt
w_0006_v2,w_0006,legalbench_check_2,programmatic
w_0006_v3,w_0006,legalbench_check_3,judge
w_0006_v4,w_0006,legalbench_check_4,judge
w_0007_v1,w_0007,apex_agents_check_1,programmatic
w_0007_v2,w_0007,apex_agents_check_2,gt
w_0007_v3,w_0007,apex_agents_check_3,judge
w_0007_v4,w_0007,apex_agents_check_4,programmatic
w_0008_v1,w_0008,browsecomp_check_1,gt
w_0008_v2,w_0008,browsecomp_check_2,programmatic
w_0008_v3,w_0008,browsecomp_check_3,judge
w_0008_v4,w_0008,browsecomp_check_4,programmatic
w_0009_v1,w_0009,swe_bench_check_1,programmatic
w_0009_v2,w_0009,swe_bench_check_2,gt
w_0009_v3,w_0009,swe_bench_check_3,judge
w_0009_v4,w_0009,swe_bench_check_4,judge
w_0010_v1,w_0010,gdpval_check_1,judge
w_0010_v2,w_0010,gdpval_check_2,programmatic
w_0010_v3,w_0010,gdpval_check_3,programmatic
w_0010_v4,w_0010,gdpval_check_4,judge
w_0011_v1,w_0011,hle_check_1,gt
w_0011_v2,w_0011,hle_check_2,programmatic
w_0011_v3,w_0011,hle_check_3,gt
w_0011_v4,w_0011,hle_check_4,programmatic
w_0012_v1,w_0012,terminal_bench_check_1,programmatic
w_0012_v2,w_0012,terminal_bench_check_2,programmatic
w_0012_v3,w_0012,terminal_bench_check_3,judge
w_0012_v4,w_0012,terminal_bench_check_4,gt
w_0013_v1,w_0013,legalbench_check_1,programmatic
w_0013_v2,w_0013,legalbench_check_2,judge
w_0013_v3,w_0013,legalbench_check_3,judge
w_0013_v4,w_0013,legalbench_check_4,gt
w_0014_v1,w_0014,apex_agents_check_1,programmatic
w_0014_v2,w_0014,apex_agents_check_2,programmatic
w_0014_v3,w_0014,apex_agents_check_3,programmatic
w_0014_v4,w_0014,apex_agents_check_4,programmatic
w_0015_v1,w_0015,browsecomp_check_1,judge
w_0015_v2,w_0015,browsecomp_check_2,gt
w_0015_v3,w_0015,browsecomp_check_3,programmatic
w_0015_v4,w_0015,browsecomp_check_4,judge
