run_id,ts,world_id,campaign_id,task_id,model_id,provider,agent_config_id,environment,reasoning_effort,grader_type,status,score,passed,num_verifiers,num_verifiers_passed,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,cost_usd,duration_ms,num_tool_calls
run_mp9umvmo_200646,2026-05-17T14:07:00Z,,,task_3929,m_gpt5_mini,openai,ac_terminus,staging,low,programmatic,cancelled,,0,5,0,31277,172310,422192,5911,0.384915,,26
run_mpa9n02o_243043,2026-05-17T21:07:00Z,w_0007,cmp_0007,task_501,m_claude_sonnet,anthropic,ac_single_shot,prod,low,gt,completed,0.4627,0,7,3,39907,10055,0,0,0.270546,6046,2
run_mp9qvuio_391678,2026-05-17T12:22:00Z,w_0011,cmp_0003,task_963,m_llama3_70b,meta,ac_single_shot,prod,medium,judge,timeout,,0,3,0,485577,116029,22785,49957,0.408904,,0
run_mp97p9eo_348424,2026-05-17T03:25:00Z,w_0013,cmp_0005,task_2810,m_claude_haiku,anthropic,ac_lighthouse,prod,medium,programmatic,completed,0.4162,0,2,1,62776,20184,20162,0,0.13257,55216,17
run_mp9jpcyo_884670,2026-05-17T09:01:00Z,w_0010,cmp_0002,task_1239,m_gpt5,openai,ac_react,prod,medium,judge,completed,0.5605,0,8,4,21062,15733,0,0,0.68261,104831,39
run_mp9xhrc0_874691,2026-05-17T15:27:00Z,w_0015,cmp_0007,task_328,m_claude_opus,anthropic,ac_stirrup,prod,high,judge,errored,,0,8,0,288576,16915,19787,51873,6.599564,8043,13
run_mpadw1c0_300652,2026-05-17T23:06:00Z,w_0015,cmp_0007,task_2676,m_mistral_large,mistral,ac_terminus,prod,high,programmatic,completed,0.435,0,6,3,9136,50398,166179,37686,0.448111,38199,28
run_mp97nz40_967669,2026-05-17T03:24:00Z,w_0005,cmp_0005,task_3346,m_gpt5,openai,ac_stirrup,prod,medium,gt,timeout,,0,8,0,10831,7163,12594,44852,0.899593,55297,3
run_mp9aezxc_834685,2026-05-17T04:41:00Z,w_0007,cmp_0007,task_119,m_gemini_pro,google,ac_react,prod,high,judge,completed,0.5576,0,4,2,174159,8411,21875,23476,0.799432,22199,7
run_mp97y9hc_920938,2026-05-17T03:32:00Z,,,task_2466,m_gpt5,openai,ac_lighthouse,prod,medium,judge,errored,,0,6,0,59418,15885,159748,0,1.270415,,2
run_mp9hhmlc_616911,2026-05-17T07:59:00Z,w_0004,cmp_0004,task_593,m_claude_opus,anthropic,ac_single_shot,prod,high,gt,completed,0.6439,0,2,1,76682,17778,0,45296,3.33288,17555,3
run_mp9qizk0_699212,2026-05-17T12:12:00Z,w_0011,cmp_0003,task_933,m_gemini_pro,google,ac_single_shot,prod,high,gt,timeout,,0,3,0,52024,34909,29231,9457,0.596687,,1
run_mp94p8io_998223,2026-05-17T02:01:00Z,w_0009,cmp_0001,task_1376,m_gpt5_mini,openai,ac_react,staging,low,judge,completed,0.1691,0,6,1,49158,48379,26043,0,0.122639,19817,28
run_mpa2o8ao_637680,2026-05-17T17:52:00Z,w_0007,cmp_0007,task_3658,m_claude_sonnet,anthropic,ac_single_shot,prod,low,programmatic,completed,0.4886,0,7,3,163504,17726,83091,10175,0.819486,13987,0
run_mpa413k0_777530,2026-05-17T18:30:00Z,w_0010,cmp_0002,task_1599,m_mistral_large,mistral,ac_lighthouse,prod,medium,programmatic,completed,0.4918,0,8,4,109213,27621,184668,0,0.421086,30000,38
run_mp99lf40_110764,2026-05-17T04:18:00Z,w_0012,cmp_0004,task_3259,m_claude_sonnet,anthropic,ac_react,prod,medium,programmatic,completed,0.3531,0,2,1,43530,20064,0,38204,0.574815,21285,7
run_mp9smv1c_940769,2026-05-17T13:11:00Z,w_0002,cmp_0002,task_3723,m_claude_sonnet,anthropic,ac_lighthouse,prod,low,judge,completed,0.7144,1,4,3,41375,23020,0,0,0.469425,44924,18
run_mp9yj1xc_767536,2026-05-17T15:56:00Z,w_0007,cmp_0007,task_1189,m_gpt5,openai,ac_terminus,prod,low,judge,completed,0.4122,0,2,1,208726,13815,103119,0,2.630609,209839,35
run_mpafn1uo_676970,2026-05-17T23:55:00Z,w_0002,cmp_0002,task_1353,m_gpt4o,openai,ac_stirrup,prod,low,judge,completed,0.4636,0,6,3,13720,13230,41192,48223,0.362759,27893,22
run_mpa4o8w0_419179,2026-05-17T18:48:00Z,w_0007,cmp_0007,task_1651,m_claude_opus,anthropic,ac_react,staging,high,judge,completed,0.5302,0,2,1,85554,38658,45358,0,4.250697,84488,4
run_mp9tkaqo_607741,2026-05-17T13:37:00Z,w_0003,cmp_0003,task_1224,m_claude_sonnet,anthropic,ac_terminus,prod,medium,judge,completed,0.5549,0,5,3,31904,64947,55463,22098,1.169423,80118,10
run_mpa5htpc_498212,2026-05-17T19:11:00Z,w_0014,cmp_0006,task_3225,m_gpt5,openai,ac_lighthouse,prod,medium,judge,completed,0.4549,0,2,1,49396,3917,0,0,0.61147,31722,31
run_mp9cug2o_408206,2026-05-17T05:49:00Z,w_0013,cmp_0005,task_2041,m_claude_haiku,anthropic,ac_react,prod,low,judge,completed,0.3156,0,2,1,39926,43107,0,5729,0.210098,70366,13
run_mp9fmr6o_366577,2026-05-17T07:07:00Z,w_0010,cmp_0002,task_1659,m_claude_haiku,anthropic,ac_stirrup,prod,high,gt,completed,0.4286,0,3,1,59351,21226,120285,13755,0.155763,17061,40
run_mpaea6lc_427934,2026-05-17T23:17:00Z,w_0008,cmp_0008,task_650,m_gpt5_mini,openai,ac_single_shot,staging,medium,gt,completed,0.5198,0,4,2,21406,18727,62321,0,0.051273,3936,2
